plate_number,well_row,well_column,marker_symbol,mgi_gene_id,entrez_id,gene_product
53,L,19,Taar7e,MGI:3527445,276742,trace amine-associated receptor 7E
53,L,21,Tal1,MGI:98480,21349,T cell acute lymphocytic leukemia 1
53,L,23,Tal1,MGI:98480,21349,T cell acute lymphocytic leukemia 1
53,N,1,Tbx15,MGI:1277234,21384,T-box 15
53,N,3,Tbx15,MGI:1277234,21384,T-box 15
53,N,5,Tcfl5,MGI:2672878,277353,transcription factor-like 5 (basic helix-loop-helix)
53,N,7,Tcfl5,MGI:2672878,277353,transcription factor-like 5 (basic helix-loop-helix)
53,N,9,Tdh,MGI:1926231,58865,L-threonine dehydrogenase
53,N,11,Tdh,MGI:1926231,58865,L-threonine dehydrogenase
53,N,13,Tert,MGI:1202709,21752,telomerase reverse transcriptase
53,N,15,Tert,MGI:1202709,21752,telomerase reverse transcriptase
53,N,17,Tff2,MGI:1306805,21785,trefoil factor 2 (spasmolytic protein 1)
53,N,19,Tff2,MGI:1306805,21785,trefoil factor 2 (spasmolytic protein 1)
53,N,21,Thsd7b,MGI:2443925,210417,"thrombospondin, type I, domain containing 7B"
53,N,23,Thsd7b,MGI:2443925,210417,"thrombospondin, type I, domain containing 7B"
53,P,1,Tlcd1,MGI:1915572,68385,TLC domain containing 1
53,P,3,Tlcd1,MGI:1915572,68385,TLC domain containing 1
53,P,5,Tmem107,MGI:1914160,66910,transmembrane protein 107
53,P,7,Tmem107,MGI:1914160,66910,transmembrane protein 107
53,P,9,Tmem241,MGI:2442435,338363,transmembrane protein 241
53,P,11,Tmem241,MGI:2442435,338363,transmembrane protein 241
53,P,13,Tmem5,MGI:2384919,216395,ribitol xylosyltransferase 1
53,P,15,Tmem5,MGI:2384919,216395,ribitol xylosyltransferase 1
53,P,17,OMIT,,,
53,P,19,OMIT,,,
53,P,21,OMIT,,,
53,P,23,OMIT,,,
53,B,2,P2ry6,MGI:2673874,233571,"pyrimidinergic receptor P2Y, G-protein coupled, 6"
